# time, 1st underlying asset price, 2nd underlying asset price, price
3.000000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+00, 2.425280570983886719e+00
3.000000000000000000e+01, 2.250000000000000000e+01, 7.500000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.125000000000000000e+01, 1.875000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.625000000000000000e+01, 3.750000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 3.750000000000000000e+00, 1.125000000000000000e+00, 6.064246654510498047e+00
3.000000000000000000e+01, 1.875000000000000000e+01, 2.625000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.375000000000000000e+00, 9.375000000000000000e-01, 4.208624064922332764e-01
3.000000000000000000e+01, 2.437500000000000000e+01, 2.437500000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.875000000000000000e+00, 1.687500000000000000e+00, 7.994607448577880859e+00
3.000000000000000000e+01, 1.687500000000000000e+01, 1.875000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 5.625000000000000000e+00, 2.812500000000000000e+00, 4.356267452239990234e+00
3.000000000000000000e+01, 2.062500000000000000e+01, 1.312500000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.312500000000000000e+01, 5.625000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.812500000000000000e+01, 2.062500000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.406250000000000000e+01, 2.531250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.906250000000000000e+01, 1.031250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.562500000000000000e+00, 2.812500000000000000e-01, 3.169287443161010742e+00
3.000000000000000000e+01, 2.156250000000000000e+01, 1.781250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.812500000000000000e+00, 1.406250000000000000e+00, 7.029388427734375000e+00
3.000000000000000000e+01, 1.781250000000000000e+01, 2.906250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.031250000000000000e+01, 2.156250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.531250000000000000e+01, 6.562500000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 4.687500000000000000e+00, 1.593750000000000000e+00, 5.172859191894531250e+00
3.000000000000000000e+01, 1.968750000000000000e+01, 9.375000000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 1.218750000000000000e+01, 8.437500000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.718750000000000000e+01, 2.343750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 8.437500000000000000e+00, 4.687500000000000000e-01, 1.312551736831665039e+00
3.000000000000000000e+01, 2.343750000000000000e+01, 1.968750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.375000000000000000e-01, 2.718750000000000000e+00, 9.034414291381835938e+00
3.000000000000000000e+01, 1.593750000000000000e+01, 1.218750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.968750000000000000e+00, 1.828125000000000000e+00, 1.914746522903442383e+00
3.000000000000000000e+01, 2.296875000000000000e+01, 3.281250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 4.687500000000000000e-01, 1.078125000000000000e+00, 9.340897560119628906e+00
3.000000000000000000e+01, 1.546875000000000000e+01, 2.578125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 4.218750000000000000e+00, 7.031250000000000000e-01, 5.554180145263671875e+00
3.000000000000000000e+01, 1.921875000000000000e+01, 2.203125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.171875000000000000e+01, 2.953125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.671875000000000000e+01, 1.453125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.343750000000000000e+00, 2.390625000000000000e+00, 7.595497608184814453e+00
3.000000000000000000e+01, 1.734375000000000000e+01, 8.906250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 9.843750000000000000e+00, 1.406250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.484375000000000000e+01, 1.640625000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.359375000000000000e+01, 1.265625000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.859375000000000000e+01, 2.765625000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.093750000000000000e+00, 2.015625000000000000e+00, 3.808295488357543945e+00
3.000000000000000000e+01, 2.109375000000000000e+01, 5.156250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 7.031250000000000000e+00, 7.968750000000000000e-01, 2.750846624374389648e+00
3.000000000000000000e+01, 2.203125000000000000e+01, 2.296875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.453125000000000000e+01, 1.546875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.953125000000000000e+01, 4.687500000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 1.078125000000000000e+01, 2.671875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.578125000000000000e+01, 1.171875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 3.281250000000000000e+00, 4.218750000000000000e-01, 6.464232444763183594e+00
3.000000000000000000e+01, 1.828125000000000000e+01, 1.921875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.265625000000000000e+01, 2.343750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.765625000000000000e+01, 1.734375000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 5.156250000000000000e+00, 2.484375000000000000e+00, 4.792320251464843750e+00
3.000000000000000000e+01, 2.015625000000000000e+01, 9.843750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.406250000000000000e+00, 2.109375000000000000e+00, 8.505083084106445312e+00
3.000000000000000000e+01, 1.640625000000000000e+01, 6.093750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 8.906250000000000000e+00, 1.359375000000000000e+00, 9.310259819030761719e-01
3.000000000000000000e+01, 2.390625000000000000e+01, 2.859375000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.195312500000000000e+01, 1.335937500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.695312500000000000e+01, 2.835937500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 4.453125000000000000e+00, 2.085937500000000000e+00, 5.455885410308837891e+00
3.000000000000000000e+01, 1.945312500000000000e+01, 5.859375000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 7.031250000000000000e-01, 2.460937500000000000e+00, 9.243113517761230469e+00
3.000000000000000000e+01, 1.570312500000000000e+01, 9.609375000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 8.203125000000000000e+00, 2.109375000000000000e-01, 1.521822333335876465e+00
3.000000000000000000e+01, 2.320312500000000000e+01, 1.710937500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.328125000000000000e+00, 3.984375000000000000e-01, 3.415073633193969727e+00
3.000000000000000000e+01, 2.132812500000000000e+01, 1.898437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.382812500000000000e+01, 2.648437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.882812500000000000e+01, 1.148437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.007812500000000000e+01, 1.523437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.507812500000000000e+01, 2.343750000000000000e-02, 0.000000000000000000e+00
