# time, 1st underlying asset price, 2nd underlying asset price, 3rd underlying asset price, price
3.000000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+01, 7.500000000000000000e-01, 2.277512311935424805e+00
3.000000000000000000e+01, 2.250000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+00, 2.425280570983886719e+00
3.000000000000000000e+01, 1.125000000000000000e+01, 1.875000000000000000e+01, 3.750000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.625000000000000000e+01, 3.750000000000000000e+00, 1.875000000000000000e+00, 6.138130664825439453e+00
3.000000000000000000e+01, 3.750000000000000000e+00, 1.125000000000000000e+01, 1.125000000000000000e+00, 6.064246654510498047e+00
3.000000000000000000e+01, 1.875000000000000000e+01, 2.625000000000000000e+01, 2.625000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.375000000000000000e+00, 9.375000000000000000e+00, 2.062500000000000000e+00, 5.316880941390991211e-01
3.000000000000000000e+01, 2.437500000000000000e+01, 2.437500000000000000e+01, 5.625000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.875000000000000000e+00, 1.687500000000000000e+01, 2.812500000000000000e+00, 8.106267929077148438e+00
3.000000000000000000e+01, 1.687500000000000000e+01, 1.875000000000000000e+00, 1.312500000000000000e+00, 7.957665920257568359e+00
3.000000000000000000e+01, 5.625000000000000000e+00, 2.812500000000000000e+01, 1.687500000000000000e+00, 4.244607448577880859e+00
3.000000000000000000e+01, 2.062500000000000000e+01, 1.312500000000000000e+01, 1.875000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.312500000000000000e+01, 5.625000000000000000e+00, 2.437500000000000000e+00, 4.318907737731933594e+00
3.000000000000000000e+01, 2.812500000000000000e+01, 2.062500000000000000e+01, 9.375000000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.406250000000000000e+01, 2.531250000000000000e+01, 1.218750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.906250000000000000e+01, 1.031250000000000000e+01, 2.718750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.562500000000000000e+00, 2.812500000000000000e+00, 4.687500000000000000e-01, 6.937551975250244141e+00
3.000000000000000000e+01, 2.156250000000000000e+01, 1.781250000000000000e+01, 1.968750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.812500000000000000e+00, 1.406250000000000000e+01, 8.437500000000000000e-01, 6.974183082580566406e+00
