# 1st underlying asset price, 2nd underlying asset price, 3rd underlying asset price, time, price
1.500000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.250000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+01, 3.000000000000000000e+00, 2.500000000000000000e+00
7.500000000000000000e+00, 2.250000000000000000e+01, 7.500000000000000000e+00, 3.000000000000000000e+00, 2.500000000000000000e+00
1.125000000000000000e+01, 1.125000000000000000e+01, 1.875000000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.625000000000000000e+01, 2.625000000000000000e+01, 3.750000000000000000e+00, 3.000000000000000000e+00, 6.250000000000000000e+00
1.875000000000000000e+01, 3.750000000000000000e+00, 1.125000000000000000e+01, 3.000000000000000000e+00, 6.250000000000000000e+00
3.750000000000000000e+00, 1.875000000000000000e+01, 2.625000000000000000e+01, 3.000000000000000000e+00, 6.250000000000000000e+00
5.625000000000000000e+00, 9.375000000000000000e+00, 9.375000000000000000e+00, 3.000000000000000000e+00, 4.375000000000000000e+00
2.062500000000000000e+01, 2.437500000000000000e+01, 2.437500000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.812500000000000000e+01, 1.875000000000000000e+00, 1.687500000000000000e+01, 3.000000000000000000e+00, 8.125000000000000000e+00
1.312500000000000000e+01, 1.687500000000000000e+01, 1.875000000000000000e+00, 3.000000000000000000e+00, 8.125000000000000000e+00
9.375000000000000000e+00, 5.625000000000000000e+00, 2.812500000000000000e+01, 3.000000000000000000e+00, 4.375000000000000000e+00
2.437500000000000000e+01, 2.062500000000000000e+01, 1.312500000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.687500000000000000e+01, 1.312500000000000000e+01, 5.625000000000000000e+00, 3.000000000000000000e+00, 4.375000000000000000e+00
1.875000000000000000e+00, 2.812500000000000000e+01, 2.062500000000000000e+01, 3.000000000000000000e+00, 8.125000000000000000e+00
2.812500000000000000e+00, 1.406250000000000000e+01, 2.531250000000000000e+01, 3.000000000000000000e+00, 7.187500000000000000e+00
1.781250000000000000e+01, 2.906250000000000000e+01, 1.031250000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.531250000000000000e+01, 6.562500000000000000e+00, 2.812500000000000000e+00, 3.000000000000000000e+00, 7.187500000000000000e+00
1.031250000000000000e+01, 2.156250000000000000e+01, 1.781250000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.406250000000000000e+01, 2.812500000000000000e+00, 1.406250000000000000e+01, 3.000000000000000000e+00, 7.187500000000000000e+00
2.906250000000000000e+01, 1.781250000000000000e+01, 2.906250000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.156250000000000000e+01, 1.031250000000000000e+01, 2.156250000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
6.562500000000000000e+00, 2.531250000000000000e+01, 6.562500000000000000e+00, 3.000000000000000000e+00, 3.437500000000000000e+00
4.687500000000000000e+00, 4.687500000000000000e+00, 1.593750000000000000e+01, 3.000000000000000000e+00, 5.312500000000000000e+00
1.968750000000000000e+01, 1.968750000000000000e+01, 9.375000000000000000e-01, 3.000000000000000000e+00, 9.062500000000000000e+00
2.718750000000000000e+01, 1.218750000000000000e+01, 8.437500000000000000e+00, 3.000000000000000000e+00, 1.562500000000000000e+00
1.218750000000000000e+01, 2.718750000000000000e+01, 2.343750000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
8.437500000000000000e+00, 8.437500000000000000e+00, 4.687500000000000000e+00, 3.000000000000000000e+00, 5.312500000000000000e+00
2.343750000000000000e+01, 2.343750000000000000e+01, 1.968750000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.593750000000000000e+01, 9.375000000000000000e-01, 2.718750000000000000e+01, 3.000000000000000000e+00, 9.062500000000000000e+00
9.375000000000000000e-01, 1.593750000000000000e+01, 1.218750000000000000e+01, 3.000000000000000000e+00, 9.062500000000000000e+00
1.406250000000000000e+00, 7.968750000000000000e+00, 1.828125000000000000e+01, 3.000000000000000000e+00, 8.593750000000000000e+00
1.640625000000000000e+01, 2.296875000000000000e+01, 3.281250000000000000e+00, 3.000000000000000000e+00, 6.718750000000000000e+00
2.390625000000000000e+01, 4.687500000000000000e-01, 1.078125000000000000e+01, 3.000000000000000000e+00, 9.531250000000000000e+00
8.906250000000000000e+00, 1.546875000000000000e+01, 2.578125000000000000e+01, 3.000000000000000000e+00, 1.093750000000000000e+00
1.265625000000000000e+01, 4.218750000000000000e+00, 7.031250000000000000e+00, 3.000000000000000000e+00, 5.781250000000000000e+00
2.765625000000000000e+01, 1.921875000000000000e+01, 2.203125000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.015625000000000000e+01, 1.171875000000000000e+01, 2.953125000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
5.156250000000000000e+00, 2.671875000000000000e+01, 1.453125000000000000e+01, 3.000000000000000000e+00, 4.843750000000000000e+00
7.031250000000000000e+00, 2.343750000000000000e+00, 2.390625000000000000e+01, 3.000000000000000000e+00, 7.656250000000000000e+00
2.203125000000000000e+01, 1.734375000000000000e+01, 8.906250000000000000e+00, 3.000000000000000000e+00, 1.093750000000000000e+00
2.953125000000000000e+01, 9.843750000000000000e+00, 1.406250000000000000e+00, 3.000000000000000000e+00, 8.593750000000000000e+00
1.453125000000000000e+01, 2.484375000000000000e+01, 1.640625000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.078125000000000000e+01, 1.359375000000000000e+01, 1.265625000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.578125000000000000e+01, 2.859375000000000000e+01, 2.765625000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.828125000000000000e+01, 6.093750000000000000e+00, 2.015625000000000000e+01, 3.000000000000000000e+00, 3.906250000000000000e+00
3.281250000000000000e+00, 2.109375000000000000e+01, 5.156250000000000000e+00, 3.000000000000000000e+00, 6.718750000000000000e+00
2.343750000000000000e+00, 7.031250000000000000e+00, 7.968750000000000000e+00, 3.000000000000000000e+00, 7.656250000000000000e+00
1.734375000000000000e+01, 2.203125000000000000e+01, 2.296875000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.484375000000000000e+01, 1.453125000000000000e+01, 1.546875000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
9.843750000000000000e+00, 2.953125000000000000e+01, 4.687500000000000000e-01, 3.000000000000000000e+00, 9.531250000000000000e+00
1.359375000000000000e+01, 1.078125000000000000e+01, 2.671875000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.859375000000000000e+01, 2.578125000000000000e+01, 1.171875000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
