# time, 1st underlying asset price, 2nd underlying asset price, 3rd underlying asset price, 4th underlying asset price, price
3.000000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+00, 2.425280570983886719e+00
3.000000000000000000e+01, 2.250000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+01, 7.500000000000000000e-01, 2.277512311935424805e+00
3.000000000000000000e+01, 1.125000000000000000e+01, 1.875000000000000000e+01, 3.750000000000000000e+00, 2.625000000000000000e+00, 6.212570190429687500e+00
3.000000000000000000e+01, 2.625000000000000000e+01, 3.750000000000000000e+00, 1.875000000000000000e+01, 1.125000000000000000e+00, 6.064246654510498047e+00
3.000000000000000000e+01, 3.750000000000000000e+00, 1.125000000000000000e+01, 1.125000000000000000e+01, 3.750000000000000000e-01, 5.990915298461914062e+00
3.000000000000000000e+01, 1.875000000000000000e+01, 2.625000000000000000e+01, 2.625000000000000000e+01, 1.875000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.375000000000000000e+00, 9.375000000000000000e+00, 2.062500000000000000e+01, 1.687500000000000000e+00, 4.946075677871704102e-01
3.000000000000000000e+01, 2.437500000000000000e+01, 2.437500000000000000e+01, 5.625000000000000000e+00, 1.875000000000000000e-01, 4.097668170928955078e+00
3.000000000000000000e+01, 1.875000000000000000e+00, 1.687500000000000000e+01, 2.812500000000000000e+01, 9.375000000000000000e-01, 7.920862197875976562e+00
3.000000000000000000e+01, 1.687500000000000000e+01, 1.875000000000000000e+00, 1.312500000000000000e+01, 2.437500000000000000e+00, 8.068907737731933594e+00
3.000000000000000000e+01, 5.625000000000000000e+00, 2.812500000000000000e+01, 1.687500000000000000e+01, 1.312500000000000000e+00, 4.207665920257568359e+00
3.000000000000000000e+01, 2.062500000000000000e+01, 1.312500000000000000e+01, 1.875000000000000000e+00, 2.812500000000000000e+00, 8.106267929077148438e+00
3.000000000000000000e+01, 1.312500000000000000e+01, 5.625000000000000000e+00, 2.437500000000000000e+01, 2.062500000000000000e+00, 4.281688213348388672e+00
3.000000000000000000e+01, 2.812500000000000000e+01, 2.062500000000000000e+01, 9.375000000000000000e+00, 5.625000000000000000e-01, 3.841966986656188965e-01
