# 1st underlying asset price, 2nd underlying asset price, 3rd underlying asset price, 4th underlying asset price, time, price
1.500000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+01, 1.500000000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.250000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+01, 7.500000000000000000e+00, 3.000000000000000000e+00, 2.500000000000000000e+00
7.500000000000000000e+00, 2.250000000000000000e+01, 7.500000000000000000e+00, 2.250000000000000000e+01, 3.000000000000000000e+00, 2.500000000000000000e+00
1.125000000000000000e+01, 1.125000000000000000e+01, 1.875000000000000000e+01, 3.750000000000000000e+00, 3.000000000000000000e+00, 6.250000000000000000e+00
2.625000000000000000e+01, 2.625000000000000000e+01, 3.750000000000000000e+00, 1.875000000000000000e+01, 3.000000000000000000e+00, 6.250000000000000000e+00
1.875000000000000000e+01, 3.750000000000000000e+00, 1.125000000000000000e+01, 1.125000000000000000e+01, 3.000000000000000000e+00, 6.250000000000000000e+00
3.750000000000000000e+00, 1.875000000000000000e+01, 2.625000000000000000e+01, 2.625000000000000000e+01, 3.000000000000000000e+00, 6.250000000000000000e+00
5.625000000000000000e+00, 9.375000000000000000e+00, 9.375000000000000000e+00, 2.062500000000000000e+01, 3.000000000000000000e+00, 4.375000000000000000e+00
2.062500000000000000e+01, 2.437500000000000000e+01, 2.437500000000000000e+01, 5.625000000000000000e+00, 3.000000000000000000e+00, 4.375000000000000000e+00
2.812500000000000000e+01, 1.875000000000000000e+00, 1.687500000000000000e+01, 2.812500000000000000e+01, 3.000000000000000000e+00, 8.125000000000000000e+00
1.312500000000000000e+01, 1.687500000000000000e+01, 1.875000000000000000e+00, 1.312500000000000000e+01, 3.000000000000000000e+00, 8.125000000000000000e+00
9.375000000000000000e+00, 5.625000000000000000e+00, 2.812500000000000000e+01, 1.687500000000000000e+01, 3.000000000000000000e+00, 4.375000000000000000e+00
2.437500000000000000e+01, 2.062500000000000000e+01, 1.312500000000000000e+01, 1.875000000000000000e+00, 3.000000000000000000e+00, 8.125000000000000000e+00
1.687500000000000000e+01, 1.312500000000000000e+01, 5.625000000000000000e+00, 2.437500000000000000e+01, 3.000000000000000000e+00, 4.375000000000000000e+00
1.875000000000000000e+00, 2.812500000000000000e+01, 2.062500000000000000e+01, 9.375000000000000000e+00, 3.000000000000000000e+00, 8.125000000000000000e+00
2.812500000000000000e+00, 1.406250000000000000e+01, 2.531250000000000000e+01, 1.218750000000000000e+01, 3.000000000000000000e+00, 7.187500000000000000e+00
1.781250000000000000e+01, 2.906250000000000000e+01, 1.031250000000000000e+01, 2.718750000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.531250000000000000e+01, 6.562500000000000000e+00, 2.812500000000000000e+00, 4.687500000000000000e+00, 3.000000000000000000e+00, 7.187500000000000000e+00
1.031250000000000000e+01, 2.156250000000000000e+01, 1.781250000000000000e+01, 1.968750000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.406250000000000000e+01, 2.812500000000000000e+00, 1.406250000000000000e+01, 8.437500000000000000e+00, 3.000000000000000000e+00, 7.187500000000000000e+00
2.906250000000000000e+01, 1.781250000000000000e+01, 2.906250000000000000e+01, 2.343750000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.156250000000000000e+01, 1.031250000000000000e+01, 2.156250000000000000e+01, 9.375000000000000000e-01, 3.000000000000000000e+00, 9.062500000000000000e+00
6.562500000000000000e+00, 2.531250000000000000e+01, 6.562500000000000000e+00, 1.593750000000000000e+01, 3.000000000000000000e+00, 3.437500000000000000e+00
4.687500000000000000e+00, 4.687500000000000000e+00, 1.593750000000000000e+01, 2.531250000000000000e+01, 3.000000000000000000e+00, 5.312500000000000000e+00
1.968750000000000000e+01, 1.968750000000000000e+01, 9.375000000000000000e-01, 1.031250000000000000e+01, 3.000000000000000000e+00, 9.062500000000000000e+00
2.718750000000000000e+01, 1.218750000000000000e+01, 8.437500000000000000e+00, 1.781250000000000000e+01, 3.000000000000000000e+00, 1.562500000000000000e+00
1.218750000000000000e+01, 2.718750000000000000e+01, 2.343750000000000000e+01, 2.812500000000000000e+00, 3.000000000000000000e+00, 7.187500000000000000e+00
8.437500000000000000e+00, 8.437500000000000000e+00, 4.687500000000000000e+00, 2.906250000000000000e+01, 3.000000000000000000e+00, 5.312500000000000000e+00
2.343750000000000000e+01, 2.343750000000000000e+01, 1.968750000000000000e+01, 1.406250000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.593750000000000000e+01, 9.375000000000000000e-01, 2.718750000000000000e+01, 2.156250000000000000e+01, 3.000000000000000000e+00, 9.062500000000000000e+00
9.375000000000000000e-01, 1.593750000000000000e+01, 1.218750000000000000e+01, 6.562500000000000000e+00, 3.000000000000000000e+00, 9.062500000000000000e+00
1.406250000000000000e+00, 7.968750000000000000e+00, 1.828125000000000000e+01, 1.734375000000000000e+01, 3.000000000000000000e+00, 8.593750000000000000e+00
1.640625000000000000e+01, 2.296875000000000000e+01, 3.281250000000000000e+00, 2.343750000000000000e+00, 3.000000000000000000e+00, 7.656250000000000000e+00
2.390625000000000000e+01, 4.687500000000000000e-01, 1.078125000000000000e+01, 2.484375000000000000e+01, 3.000000000000000000e+00, 9.531250000000000000e+00
8.906250000000000000e+00, 1.546875000000000000e+01, 2.578125000000000000e+01, 9.843750000000000000e+00, 3.000000000000000000e+00, 1.093750000000000000e+00
1.265625000000000000e+01, 4.218750000000000000e+00, 7.031250000000000000e+00, 2.109375000000000000e+01, 3.000000000000000000e+00, 5.781250000000000000e+00
2.765625000000000000e+01, 1.921875000000000000e+01, 2.203125000000000000e+01, 6.093750000000000000e+00, 3.000000000000000000e+00, 3.906250000000000000e+00
2.015625000000000000e+01, 1.171875000000000000e+01, 2.953125000000000000e+01, 2.859375000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
5.156250000000000000e+00, 2.671875000000000000e+01, 1.453125000000000000e+01, 1.359375000000000000e+01, 3.000000000000000000e+00, 4.843750000000000000e+00
7.031250000000000000e+00, 2.343750000000000000e+00, 2.390625000000000000e+01, 4.218750000000000000e+00, 3.000000000000000000e+00, 7.656250000000000000e+00
2.203125000000000000e+01, 1.734375000000000000e+01, 8.906250000000000000e+00, 1.921875000000000000e+01, 3.000000000000000000e+00, 1.093750000000000000e+00
2.953125000000000000e+01, 9.843750000000000000e+00, 1.406250000000000000e+00, 1.171875000000000000e+01, 3.000000000000000000e+00, 8.593750000000000000e+00
1.453125000000000000e+01, 2.484375000000000000e+01, 1.640625000000000000e+01, 2.671875000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.078125000000000000e+01, 1.359375000000000000e+01, 1.265625000000000000e+01, 4.687500000000000000e-01, 3.000000000000000000e+00, 9.531250000000000000e+00
2.578125000000000000e+01, 2.859375000000000000e+01, 2.765625000000000000e+01, 1.546875000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
1.828125000000000000e+01, 6.093750000000000000e+00, 2.015625000000000000e+01, 7.968750000000000000e+00, 3.000000000000000000e+00, 3.906250000000000000e+00
3.281250000000000000e+00, 2.109375000000000000e+01, 5.156250000000000000e+00, 2.296875000000000000e+01, 3.000000000000000000e+00, 6.718750000000000000e+00
2.343750000000000000e+00, 7.031250000000000000e+00, 7.968750000000000000e+00, 2.953125000000000000e+01, 3.000000000000000000e+00, 7.656250000000000000e+00
1.734375000000000000e+01, 2.203125000000000000e+01, 2.296875000000000000e+01, 1.453125000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.484375000000000000e+01, 1.453125000000000000e+01, 1.546875000000000000e+01, 2.203125000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
9.843750000000000000e+00, 2.953125000000000000e+01, 4.687500000000000000e-01, 7.031250000000000000e+00, 3.000000000000000000e+00, 9.531250000000000000e+00
1.359375000000000000e+01, 1.078125000000000000e+01, 2.671875000000000000e+01, 2.578125000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.859375000000000000e+01, 2.578125000000000000e+01, 1.171875000000000000e+01, 1.078125000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.109375000000000000e+01, 3.281250000000000000e+00, 4.218750000000000000e+00, 1.828125000000000000e+01, 3.000000000000000000e+00, 6.718750000000000000e+00
6.093750000000000000e+00, 1.828125000000000000e+01, 1.921875000000000000e+01, 3.281250000000000000e+00, 3.000000000000000000e+00, 6.718750000000000000e+00
4.218750000000000000e+00, 1.265625000000000000e+01, 2.343750000000000000e+00, 8.906250000000000000e+00, 3.000000000000000000e+00, 7.656250000000000000e+00
1.921875000000000000e+01, 2.765625000000000000e+01, 1.734375000000000000e+01, 2.390625000000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.671875000000000000e+01, 5.156250000000000000e+00, 2.484375000000000000e+01, 1.406250000000000000e+00, 3.000000000000000000e+00, 8.593750000000000000e+00
1.171875000000000000e+01, 2.015625000000000000e+01, 9.843750000000000000e+00, 1.640625000000000000e+01, 3.000000000000000000e+00, 1.562500000000000000e-01
7.968750000000000000e+00, 1.406250000000000000e+00, 2.109375000000000000e+01, 1.265625000000000000e+01, 3.000000000000000000e+00, 8.593750000000000000e+00
2.296875000000000000e+01, 1.640625000000000000e+01, 6.093750000000000000e+00, 2.765625000000000000e+01, 3.000000000000000000e+00, 3.906250000000000000e+00
1.546875000000000000e+01, 8.906250000000000000e+00, 1.359375000000000000e+01, 5.156250000000000000e+00, 3.000000000000000000e+00, 4.843750000000000000e+00
4.687500000000000000e-01, 2.390625000000000000e+01, 2.859375000000000000e+01, 2.015625000000000000e+01, 3.000000000000000000e+00, 9.531250000000000000e+00
7.031250000000000000e-01, 1.195312500000000000e+01, 1.335937500000000000e+01, 2.414062500000000000e+01, 3.000000000000000000e+00, 9.296875000000000000e+00
1.570312500000000000e+01, 2.695312500000000000e+01, 2.835937500000000000e+01, 9.140625000000000000e+00, 3.000000000000000000e+00, 8.593750000000000000e-01
2.320312500000000000e+01, 4.453125000000000000e+00, 2.085937500000000000e+01, 1.664062500000000000e+01, 3.000000000000000000e+00, 5.546875000000000000e+00
8.203125000000000000e+00, 1.945312500000000000e+01, 5.859375000000000000e+00, 1.640625000000000000e+00, 3.000000000000000000e+00, 8.359375000000000000e+00
1.195312500000000000e+01, 7.031250000000000000e-01, 2.460937500000000000e+01, 2.789062500000000000e+01, 3.000000000000000000e+00, 9.296875000000000000e+00
2.695312500000000000e+01, 1.570312500000000000e+01, 9.609375000000000000e+00, 1.289062500000000000e+01, 3.000000000000000000e+00, 3.906250000000000000e-01
1.945312500000000000e+01, 8.203125000000000000e+00, 2.109375000000000000e+00, 2.039062500000000000e+01, 3.000000000000000000e+00, 7.890625000000000000e+00
4.453125000000000000e+00, 2.320312500000000000e+01, 1.710937500000000000e+01, 5.390625000000000000e+00, 3.000000000000000000e+00, 5.546875000000000000e+00
6.328125000000000000e+00, 6.328125000000000000e+00, 3.984375000000000000e+00, 1.476562500000000000e+01, 3.000000000000000000e+00, 6.015625000000000000e+00
2.132812500000000000e+01, 2.132812500000000000e+01, 1.898437500000000000e+01, 2.976562500000000000e+01, 3.000000000000000000e+00, 0.000000000000000000e+00
2.882812500000000000e+01, 1.382812500000000000e+01, 2.648437500000000000e+01, 7.265625000000000000e+00, 3.000000000000000000e+00, 2.734375000000000000e+00
